start_station_name,member_casual,number_of_rides
Avers Ave & Irving Park Rd,member,10
Avers Ave & Ogden Ave,member,1
Avondale Ave & Addison St,casual,4
Avondale Ave & Addison St,member,1
Avondale Ave & Irving Park Rd,casual,1143
Avondale Ave & Irving Park Rd,member,1287
Back of the Yards Park,casual,3
Baltimore Ave & 132nd St,casual,3
Baltimore Ave & 133rd St,casual,6
Baltimore Ave & 133rd St,member,3
Baltimore Ave & 87th St,casual,129
Baltimore Ave & 87th St,member,67
Base - 2132 W Hubbard,casual,798
Base - 2132 W Hubbard,member,687
Base - 2132 W Hubbard Warehouse,casual,164
Base - 2132 W Hubbard Warehouse,member,116
Bell Ave & 95th St,casual,24
Bell Ave & 95th St,member,1
Bennett Ave & 79th St,casual,75
Bennett Ave & 79th St,member,19
Bennett Ave & 96th St,member,2
Bensley Ave & 103rd St,member,1
Benson Ave & Church St,casual,2551
Benson Ave & Church St,member,3157
Bernard St & Elston Ave,casual,632
Bernard St & Elston Ave,member,1722
Big Marsh Park,casual,209
Big Marsh Park,member,48
Bishop St & 46th St,casual,8
Bishop St & 46th St,member,7
Bissell St & Armitage Ave,casual,1897
Bissell St & Armitage Ave,member,2595
Bissell St & Armitage Ave*,casual,5773
Bissell St & Armitage Ave*,member,8889
Blackstone Ave & Hyde Park Blvd,casual,1762
Blackstone Ave & Hyde Park Blvd,member,3271
Bloomingdale Ave & Harlem Ave,casual,85
Bloomingdale Ave & Harlem Ave,member,54
Blue Island Ave & 18th St,casual,2691
Blue Island Ave & 18th St,member,3857
Bosworth Ave & Howard St,casual,350
Bosworth Ave & Howard St,member,700
Bradley Park,casual,56
Bradley Park,member,10
Brandon Ave & 91st St,casual,1
Brandon Ave & 91st St,member,53
Brighton Park Branch Chicago Library,casual,1
Brighton Park Branch Chicago Library,member,8
Broadway & Argyle St,casual,3317
Broadway & Argyle St,member,5881
Broadway & Barry Ave,casual,12882
Broadway & Barry Ave,member,18805
Broadway & Belmont Ave,casual,7598
Broadway & Belmont Ave,member,10504
Broadway & Berwyn Ave,casual,2972
Broadway & Berwyn Ave,member,5772
Broadway & Cornelia Ave,casual,9037
Broadway & Cornelia Ave,member,13861
Broadway & Granville Ave,casual,3178
Broadway & Granville Ave,member,4722
Broadway & Ridge Ave,casual,2756
Broadway & Ridge Ave,member,5176
Broadway & Sheridan Rd,casual,6200
Broadway & Sheridan Rd,member,10573
Broadway & Thorndale Ave,casual,3071
Broadway & Thorndale Ave,member,5084
Broadway & Waveland Ave,casual,8633
Broadway & Waveland Ave,member,15090
Broadway & Wilson - Truman College Vaccination Site,casual,3504
Broadway & Wilson - Truman College Vaccination Site,member,4329
Broadway & Wilson Ave,casual,1252
Broadway & Wilson Ave,member,3221
Buckingham Fountain,casual,5797
Buckingham Fountain,member,1244
Buckingham Fountain (Temp),casual,2270
Buckingham Fountain (Temp),member,1223
Budlong Woods Library,casual,503
Budlong Woods Library,member,572
Buffalo Ave & 133rd St,casual,1
Buffalo Ave & 133rd St,member,2
Buffalo Ave & 89th St,casual,5
Burling St & Diversey Pkwy,casual,5544
Burling St & Diversey Pkwy,member,10048
Burnham Greenway & 105th St,casual,191
Burnham Greenway & 105th St,member,64
Burnham Greenway & 112th St,casual,417
Burnham Greenway & 112th St,member,141
Burnham Harbor,casual,4679
Burnham Harbor,member,5813
California & 16th St,casual,62
California & 16th St,member,64
California Ave & 21st St,casual,496
California Ave & 21st St,member,757
California Ave & 23rd Pl,casual,269
California Ave & 23rd Pl,member,514
California Ave & 26th St,casual,123
California Ave & 26th St,member,289
California Ave & 29th St,casual,11
California Ave & 29th St,member,3
California Ave & 36th St,casual,99
California Ave & 36th St,member,22
California Ave & Altgeld St,casual,1669
California Ave & Altgeld St,member,2563
California Ave & Byron St,casual,1205
California Ave & Byron St,member,1614
California Ave & Cortez St,casual,3413
California Ave & Cortez St,member,3806
California Ave & Devon Ave - NE,casual,9
California Ave & Devon Ave - NE,member,19
California Ave & Devon Ave - NW,casual,5
California Ave & Devon Ave - NW,member,6
California Ave & Division St,casual,2316
California Ave & Division St,member,2410
California Ave & Fletcher St,casual,1914
California Ave & Fletcher St,member,1850
California Ave & Francis Pl,casual,40
California Ave & Francis Pl,member,73
California Ave & Francis Pl (Temp),casual,2560
California Ave & Francis Pl (Temp),member,2793
California Ave & Lake St,casual,651
California Ave & Lake St,member,498
California Ave & Marquette Rd,casual,159
California Ave & Marquette Rd,member,45
California Ave & Milwaukee Ave,casual,6730
California Ave & Milwaukee Ave,member,7252
California Ave & Montrose Ave,casual,1458
California Ave & Montrose Ave,member,2277
